Name,Matches,Runs,Avg,StrikeRate,Fours,Sixers
,,,,56.17*,,
,,,,71.8,,
,,,,81.27,,
,,,,49.08,,
,,,,58.45,,
,,,,48.25*,,
,,,,52.74,,
,,,,54.23,,
,,,,61.85*,,
,,,,70.73,,
,,,,74.24,,
,,,,55.64*,,
,,,,93.56,,
,,,,64.62*,,
,,,,64.54,,
,,,,54.82*,,
,,,,58.45,,
,,,,77.6,,
,,,,61.46,,
,,,,83.74,,
,,,,76.18,,
,,,,58.68,,
,,,,94.91,,
,,,,60.71,,
,,,,55.65,,
,,,,57.6,,
,,,,68.53,,
,,,,114.14,,
,,,,65.23,,
,,,,57.42,,
,,,,59.79,,
,,,,52.77,,
,,,,74.35,,
,,,,45.9,,
,,,,75.73,,
,,,,75.69,,
,,,,88.45,,
,,,,94.18,,
,,,,70.24,,
,,,,59.65,,
,,,,62.28,,
,,,,50.04*,,
,,,,64.93,,
,,,,68.85,,
,,,,54.36,,
,,,,50.81,,
,,,,,4076+,
,,,,,3015,
,,,,,2781,
,,,,,2706,
,,,,,2679,
,,,,,2455,
,,,,,2604,
,,,,,2601,
,,,,,2486,
,,,,,2041,
,,,,,2076,
,,,,,2015,
,,,,,2004,
,,,,,2332,
,,,,,1880,
,,,,,2106,
,,,,,1921,
,,,,,2138,
,,,,,2022,
,,,,,1705,
,,,,,1766,
,,,,,1691,
,,,,,1661,
,,,,,2011,
,,,,,1747,
,,,,,1486,
,,,,,2408,
,,,,,2076,
,,,,,1672,
,,,,,1726,
,,,,,1495,
,,,,,1233+,
,,,,,1586+,
,,,,,1815,
,,,,,1449+,
,,,,,1342+,
,,,,,1391,
,,,,,1866,
,,,,,1760,
,,,,,1456,
,,,,,1552+,
,,,,,1768,
,,,,,1722,
,,,,,1513,
,,,,,1552,
,,,,,1862,
,,,,,1495,
,,,,,1581,
,,,,,1419,
,,,,,1531,
,,,,,1385,
,,,,,1316,
,,,,,1467,
,,,,,1142+,
,,,,,1486+,
,,,,,1590+,
,,,,,1192+,
,,,,,1473,
,,,,,1370,
,,,,,1342+,
,,,,,1446,
,,,,,1057+,
,,,,,1126,
,,,,,1302+,
,,,,,1246,
,,,,,1038,
,,,,,1339,
,,,,,1245,
,,,,,1304,
,,,,,1075+,
,,,,,1075,
,,,,,1042,
,,,,,1269,
,,,,,1330,
,,,,,1151,
,,,,,1053,
,,,,,1207,
,,,,,898,
,,,,,1006,
,,,,,1357,
,,,,,947,
,,,,,1000,
,,,,,1174,
,,,,,1168,
,,,,,1349,
,,,,,917,
,,,,,1102,
,,,,,1058,
,,,,,1034,
,,,,,737+,
,,,,,1382,
,,,,,1188,
,,,,,1037,
,,,,,906+,
,,,,,,264
,,,,,,159
,,,,,,246
,,,,,,306
,,,,,,170
,,,,,,254
,,,,,,66
,,,,,,221
,,,,,,352
,,,,,,126
,,,,,,193
,,,,,,110
,,,,,,328
,,,,,,553
,,,,,,631
,,,,,,321
,,,,,,143
,,,,,,93
,,,,,,247
,,,,,,88
,,,,,,273
,,,,,,138
,,,,,,71
,,,,,,112
,,,,,,142
,,,,,,359
,,,,,,243
,,,,,,94
,,,,,,102
,,,,,,144
,,,,,,98
,,,,,,92+
,,,,,,77+
,,,,,,21
,,,,,,150+
,,,,,,96+
,,,,,,229
,,,,,,262
,,,,,,89
,,,,,,173
,,,,,,210+
,,,,,,189
,,,,,,182
,,,,,,135
,,,,,,398
,,,,,,187
,,,,,,158
,,,,,,32
,,,,,,19
,,,,,,190
,,,,,,383
,,,,,,18
,,,,,,73
,,,,,,47+
,,,,,,40
,,,,,,36
,,,,,,41+
,,,,,,111
,,,,,,214
,,,,,,148+
,,,,,,254
,,,,,,104+
,,,,,,144
,,,,,,77+
,,,,,,78
,,,,,,199
,,,,,,127
,,,,,,251
,,,,,,224
,,,,,,46+
,,,,,,355
,,,,,,128
,,,,,,32
,,,,,,35
,,,,,,137
,,,,,,476
,,,,,,219
,,,,,,190
,,,,,,108
,,,,,,9
,,,,,,208
,,,,,,16
,,,,,,206
,,,,,,245
,,,,,,141
,,,,,,346
,,,,,,264
,,,,,,84
,,,,,,105
,,,,,,41+
,,,,,,84
,,,,,,37
,,,,,,56
,,,,,,53+
